name,total engagements
Taylor Swift,177
Drake,149
Morgan Wallen,137
The Weeknd,146
SZA,155
Bad Bunny,176
Lil Baby,175
Kanye West,170
Juice WRLD,146
"Tyler, The Creator",108
Kendrick Lamar,176
Travis Scott,171
Lil Uzi Vert,155
Luke Combs,122
J. Cole,157
Lil Wayne,181
Rihanna,165
Peso Pluma,136
Eminem,138
Zach Bryan,96
YoungBoy Never Broke Again,170
Lana Del Rey,164
Yeat,146
XXXTENTACION,144
Chris Brown,141
KAROL G,136
Kali Uchis,158
Mac Miller,123
Miley Cyrus,139
Lil Durk,151
Gunna,115
Justin Bieber,167
Polo G,176
Doja Cat,170
Harry Styles,150
Brent Faiyaz,98
Billie Eilish,164
Bruno Mars,153
Playboi Carti,133
Don Toliver,103
Fuerza Regida,103
Rauw Alejandro,153
Rod Wave,131
JAY-Z,145
Ed Sheeran,130
Junior H,162
A Boogie Wit da Hoodie,68
Lil Peep,136
Steve Lacy,95
BTS,175
Tyler Childers,97
The Beatles,149
Disney,74
Miguel,149
Chris Stapleton,114
Lady Gaga,182
Baby Keem,140
Fall Out Boy,147
Anuel AA,150
Arctic Monkeys,161
Phoebe Bridgers,106
Daniel Caesar,135
The Neighbourhood,103
Fleetwood Mac,156
Halsey,187
Hozier,127
Coldplay,148
Childish Gambino,90
Metallica,133
Joji,115
Bryson Tiller,115
J Balvin,100
Tory Lanez,140
Daddy Yankee,87
Grupo Frontera,149
Sam Smith,116
Roddy Ricch,100
Lil Tjay,144
Katy Perry,159
Adele,114
Dua Lipa,139
Jhené Aiko,100
Gucci Mane,144
Luke Bryan,90
Luis R Conriquez,83
Megan Thee Stallion,169
50 Cent,132
Nirvana,147
Gorillaz,142
Big Sean,108
Carin Leon,59
Jack Harlow,154
Red Hot Chili Peppers,144
Elton John,140
Machine Gun Kelly,164
Queen,163
2Pac,140
Ivan Cornejo,118
Paramore,142
Michael Jackson,172
